date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.15,SD,9,327,0,0,0,145,0,342,336,南达科他州,South Dakota
3.15,TN,39,157,0,0,0,27,7,196,196,田纳西州,Tennessee
3.15,TX,56,0,0,0,0,0,5,56,56,得克萨斯州,Texas
3.15,UT,28,131,0,0,0,0,22,159,159,犹他州,Utah
3.15,VA,45,363,0,1,1,246,15,408,408,弗吉尼亚州,Virginia
3.15,VT,4,348,0,0,0,121,0,352,352,佛蒙特州,Vermont
3.15,WA,939,18372,0,57,6,1589,133,19311,19311,华盛顿州,Washington
3.15,WI,33,313,0,0,0,144,14,346,346,威斯康辛州（威斯康星州）,Wisconsin
3.15,WV,0,38,0,0,0,12,0,39,38,西弗吉尼亚州,Wst Virginia
3.15,WY,3,0,0,0,0,0,1,3,3,怀俄明州,Wyoming
3.16,AK,1,143,0,0,0,0,0,144,144,阿拉斯加州,Alaska
3.16,AL,28,28,0,0,0,0,16,96,56,阿拉巴马州,Alabama
3.16,AR,22,132,0,0,0,29,6,168,154,阿肯色州,Arkansas
3.16,AZ,18,125,0,0,0,4,6,206,143,亚利桑那州,Arizona
3.16,CA,335,7981,0,6,1,7065,42,8316,8316,加利福尼亚州,California
3.16,CO,131,627,0,1,0,0,0,758,758,科罗拉多州,Colorado
3.16,CT,26,125,0,0,0,0,6,151,151,康涅狄格州,Connecticut
3.16,DE,8,36,0,0,0,0,2,76,44,特拉华州,Delaware
3.16,FL,141,684,0,4,0,6,25,1339,825,佛罗里达州,Florida
3.16,GA,121,0,0,1,0,0,22,121,121,乔治亚州（佐治亚州）,Georgia
3.16,HI,7,0,0,0,0,0,5,7,7,夏威夷州,Hawaii
3.16,IA,22,83,0,0,0,0,4,105,105,爱荷华州（艾奥瓦州）（衣阿华州）,Iowa
3.16,ID,5,265,0,0,0,91,0,270,270,爱达荷州,Idaho
3.16,IL,93,932,0,0,0,483,29,1025,1025,伊利诺斯州,Illinois
3.16,IN,24,115,0,1,1,13,5,139,139,印第安纳州,Indiana
3.16,KS,11,166,0,1,0,31,3,177,177,堪萨斯州,Kansas
3.16,KY,21,234,0,1,1,95,5,255,255,肯塔基州,Kentucky
3.16,LA,115,188,0,2,0,32,25,303,303,路易斯安那州,Louisiana
3.16,MA,97,1199,0,0,0,615,33,1296,1296,马萨诸塞州（麻省、麻州）,Massachusetts
3.16,MD,37,94,0,0,0,0,6,131,131,马里兰州,Maryland
3.16,ME,17,764,0,0,0,673,14,781,781,缅因州,Maine
3.16,MI,1933,272,0,0,0,67,453,2235,2205,密歇根州（密执安州）,Michigan
